[['', 'A', 'A', ''], 'A']     could not be checked
[['', 'A', 'A', ''], 'BD']     could not be checked
[['', 'A', 'AB', 'A'], 'B']     could not be checked
[['', 'A', '', 'ABC'], 'D']     could not be checked
[['', 'A', 'B', 'C'], 'BCD']     could not be checked
[['', '', 'B', 'AC'], 'ABC']     could not be checked
[['', 'A', 'A', 'ABC'], 'BC']     could not be checked
[['', '', 'AB', 'C'], 'CD']     could not be checked
[['', 'A', 'B', 'AC'], 'C']     could not be checked
[['', '', 'AB', 'ABC'], '']     could not be checked
[['', 'A', 'B', 'A'], 'ABD']     could not be checked
[['', '', 'AB', 'AB'], 'ABC']     could not be checked
[['', 'A', 'B', 'AC'], 'ACD']     could not be checked
[['', '', 'AB', 'ABC'], 'AD']     could not be checked
[['', 'A', '', ''], 'AB']     could not be checked
[['', 'A', '', 'ABC'], 'AB']     could not be checked
[['', 'A', '', ''], 'CD']     could not be checked
[['', 'A', 'B', 'C'], '']     could not be checked
[['', 'A', 'B', 'C'], 'AD']     could not be checked
[['', '', 'B', 'AC'], 'B']     could not be checked
[['', '', 'B', 'AC'], 'ABD']     could not be checked
[['', '', 'AB', 'C'], 'ABC']     could not be checked
[['', 'A', 'B', 'A'], 'BC']     could not be checked
[['', 'A', 'B', 'AC'], 'D']     could not be checked
[['', '', 'AB', 'ABC'], 'C']     could not be checked
[['', 'A', 'B', 'A'], 'ABCD']     could not be checked
[['', '', 'AB', ''], 'ACD']     could not be checked
[['', '', 'AB', 'ABC'], 'ACD']     could not be checked
[['', 'A', 'AB', 'BC'], 'ABC']     could not be checked
[['', 'A', '', ''], 'ABC']     could not be checked
[['', 'A', 'B', 'C'], 'C']     could not be checked
[['', 'A', 'B', 'C'], 'ACD']     could not be checked
[['', '', 'B', 'AC'], 'BC']     could not be checked
[['', '', 'B', 'AC'], 'ABCD']     could not be checked
[['', 'A', 'AB', 'AB'], 'C']     could not be checked
[['', '', 'AB', 'A'], 'C']     could not be checked
[['', 'A', 'AB', 'AB'], 'ACD']     could not be checked
[['', '', 'AB', 'C'], 'ABD']     could not be checked
[['', '', 'AB', 'A'], 'ACD']     could not be checked
[['', 'A', 'B', 'A'], 'A']     could not be checked
[['', 'A', 'B', 'AC'], 'AB']     could not be checked
[['', 'A', 'B', 'A'], 'BD']     could not be checked
[['', '', 'AB', ''], 'D']     could not be checked
[['', 'A', 'B', 'AC'], 'CD']     could not be checked
[['', '', 'AB', 'ABC'], 'D']     could not be checked
[['', '', 'AB', 'AB'], 'ABCD']     could not be checked
[['', 'A', 'AB', 'BC'], 'B']     could not be checked
[['', 'A', 'AB', 'BC'], 'ABD']     could not be checked
[['', 'A', '', ''], 'B']     could not be checked
[['', 'A', 'B', 'C'], 'D']     could not be checked
[['', '', 'B', 'AC'], 'A']     could not be checked
[['', '', 'B', 'AC'], 'BD']     could not be checked
[['', '', 'AB', 'A'], 'D']     could not be checked
[['', '', 'AB', 'C'], 'ABCD']     could not be checked
[['', 'A', 'B', 'A'], 'AC']     could not be checked
[['', '', 'AB', ''], 'AB']     could not be checked
[['', '', 'AB', 'AB'], 'A']     could not be checked
[['', 'A', 'B', 'A'], 'BCD']     could not be checked
[['', '', 'AB', ''], 'CD']     could not be checked
[['', 'A', 'AB', 'B'], 'C']     could not be checked
[['', 'A', 'AB', 'BC'], 'BC']     could not be checked
[['', 'A', 'AB', 'B'], 'ACD']     could not be checked
[['', 'A', 'AB', 'BC'], 'ABCD']     could not be checked
[['', 'A', 'A', 'A'], 'B']     could not be checked
[['', 'A', '', ''], 'BC']     could not be checked
[['', 'A', 'B', 'C'], 'AB']     could not be checked
